measured_on,inv_string09_ac_output_(kwh)_inv_150212,inv_string09_ac_output_(power_factor)_inv_150213,inv_string09_ac_voltage_(v)_inv_150211,inv_string09_dc_voltage_(v)_inv_150210,inv_string09_temperature_(c)_inv_150214
2019-06-21 18:51:50,0.319,0.50990099,122.219,399.188,41.8724
2019-06-21 18:56:50,0.17,0.298429319,121.625,399.0,41.7435
2019-06-21 19:01:50,0.0,0.0,121.75,398.938,41.6142
2019-06-21 19:06:50,0.0,0.0,121.703,7.9375,41.452
2019-06-21 19:11:50,0.0,,121.438,42.4375,42.7904
2019-06-21 19:16:49,0.0,,121.562,21.6875,42.9476
2019-06-21 19:21:49,0.0,,121.812,0.4375,42.7589
2019-06-22 05:56:51,0.187,0.3101604279999999,121.281,399.062,29.7376
2019-06-22 06:01:51,0.435,0.6227272729999999,121.656,399.375,32.907
2019-06-22 06:06:51,0.8379999999999999,0.870769231,121.203,399.312,34.2569
2019-06-22 06:11:51,1.138,0.925925926,121.641,398.938,35.0838
2019-06-22 06:16:52,1.352,0.961373391,121.344,399.125,35.798
2019-06-22 06:21:52,1.631,0.96953405,121.047,399.25,36.4433
2019-06-22 06:26:51,1.905,0.976780186,121.016,399.25,36.9576
2019-06-22 06:31:51,2.347,0.97752809,121.703,398.875,37.4303
2019-06-22 06:36:51,2.754,0.985900217,121.75,398.938,37.9312
2019-06-22 06:41:51,3.139,0.988516746,121.172,399.062,38.3386
2019-06-22 06:46:51,3.556,0.993288591,121.078,399.062,38.7987
2019-06-22 06:51:50,4.431,0.99122807,121.5,399.062,39.2202
2019-06-22 06:56:49,5.003,0.992810066,121.0,399.0,39.6414
2019-06-22 07:01:50,5.205,0.992537313,120.516,399.125,40.2043
2019-06-22 07:06:50,5.248,0.994282447,120.672,398.938,40.7033
2019-06-22 07:11:50,5.695,0.995268139,120.359,398.938,41.2238
2019-06-22 07:16:50,6.651,0.994154676,120.703,399.125,41.7112
2019-06-22 07:21:50,7.11,0.996647108,120.109,398.875,42.2888
2019-06-22 07:26:50,7.963,0.996615269,120.188,398.875,43.0103
2019-06-22 07:31:50,9.244,0.997061704,120.375,399.312,43.7555
